order_id	order_date	region	product	category	units	unit_price	customer_rating	delivered
1039	2026-03-03	North	Espresso	Coffee	21	2.6	1.0	yes
1040	2026-03-04	West	Croissant	Pastry	18	2.71	5.0	yes
1041	2026-03-06	West	Espresso	Coffee	7	2.7	4.0	yes
1042	2026-03-07	North	Matcha Latte	Tea	7	4.86	3.0	yes
1043	2026-03-09	West	Matcha Latte	Tea	13	4.35	2.0	no
1044	2026-03-10	South	Chamomile	Tea	12	2.91	3.0	yes
1045	2026-03-12	South	Flat White	Coffee	15	3.62	1.0	no
1046	2026-03-13	East	Espresso	Coffee	5	2.52	1.0	yes
1047	2026-03-15	East	Chamomile	Tea	24	2.93	3.0	yes
1048	2026-03-16	South	Espresso	Coffee	6	2.52	2.0	yes
1049	2026-03-18	South	Espresso	Coffee	22	2.41		yes
1050	2026-03-19	East	Croissant	Pastry	20	2.93	5.0	yes
1051	2026-03-21	West	Chamomile	Tea	18	3.06	1.0	yes
1052	2026-03-22	South	Croissant	Pastry	17	2.84	4.0	yes
1053	2026-03-24	South	Café con Leche	Coffee	9	3.37	2.0	yes
1054	2026-03-25	West	Café con Leche	Coffee	20	3.3	5.0	yes
1055	2026-03-27	West	Flat White	Coffee	12	3.77	4.0	yes
1056	2026-03-28	West	Matcha Latte	Tea	1	4.69	2.0	yes
1057	2026-03-30	East	Espresso	Coffee	15	2.73	4.0	yes
1058	2026-03-31	West	Espresso	Coffee	10	2.47	3.0	yes
1059	2026-04-02	North	Croissant	Pastry	2	2.9	1.0	yes
1060	2026-04-03	East	Matcha Latte	Tea	17	4.68	3.0	yes
1061	2026-04-05	South	Café con Leche	Coffee	21	3.24		yes
1062	2026-04-06	West	Matcha Latte	Tea	5	4.46	4.0	yes
1063	2026-04-08	North	Chamomile	Tea	13	3.05	2.0	yes
1064	2026-04-09	South	Croissant	Pastry	4	2.86	4.0	yes
1065	2026-04-11	South	Chamomile	Tea	16	3.23	5.0	yes
1066	2026-04-12	East	Espresso	Coffee	3	2.55	1.0	yes
1067	2026-04-14	North	Espresso	Coffee	11	2.72	2.0	yes
1068	2026-04-15	East	Flat White	Coffee	14	4.09	1.0	yes
1069	2026-04-17	East	Flat White	Coffee	16	4.12	5.0	no
1070	2026-04-18	West	Espresso	Coffee	6	2.72	2.0	yes
1071	2026-04-20	North	Flat White	Coffee	210	4.07	1.0	yes
1072	2026-04-21	West	Flat White	Coffee	21	4.05	4.0	yes
1073	2026-04-23	North	Chamomile	Tea	21	3.08	3.0	yes
1074	2026-04-24	North	Matcha Latte	Tea	16	4.41	3.0	yes
1075	2026-04-26	East	Espresso	Coffee	18	2.61		no
1076	2026-04-27	North	Flat White	Coffee	22	3.71		yes
1077	2026-04-29	East	Matcha Latte	Tea	12	4.37	2.0	yes
1078	2026-04-30	East	Matcha Latte	Tea	8	4.91	3.0	yes
1079	2026-05-02	South	Café con Leche	Coffee	13	3.1	5.0	yes
1080	2026-05-03	East	Espresso	Coffee	8	2.53	4.0	yes
1081	2026-05-05	South	Croissant	Pastry	6	2.84		yes
1082	2026-05-06	East	Espresso	Coffee	6	2.62	2.0	yes
1083	2026-05-08	East	Matcha Latte	Tea	8	4.7	2.0	yes
1084	2026-05-09	West	Croissant	Pastry	13	2.87	3.0	yes
1085	2026-05-11	West	Flat White	Coffee	20	3.68	3.0	no
1086	2026-05-12	South	Croissant	Pastry	21	2.73	1.0	yes
1087	2026-05-14	South	Espresso	Coffee	331	2.43	5.0	yes
1088	2026-05-15	North	Café con Leche	Coffee	17	3.41	1.0	yes
1089	2026-05-17	West	Croissant	Pastry	19	2.66	4.0	yes
1090	2026-05-18	South	Matcha Latte	Tea	19	4.94	3.0	yes
1091	2026-05-20	East	Croissant	Pastry	5	2.82	5.0	yes
1092	2026-05-21	West	Café con Leche	Coffee	21	3.13	4.0	yes
1093	2026-05-23	North	Espresso	Coffee	23	2.59	1.0	yes
1094	2026-05-24	West	Café con Leche	Coffee	1	3.35	1.0	yes
1095	2026-05-26	East	Matcha Latte	Tea	20	4.5	4.0	yes
1096	2026-05-27	South	Matcha Latte	Tea	8	4.89	3.0	yes
1097	2026-05-29	West	Matcha Latte	Tea	3	4.35	5.0	yes
1098	2026-05-30	North	Matcha Latte	Tea	24	4.4	5.0	no
1099	2026-06-01	North	Café con Leche	Coffee	15	3.04	5.0	yes
1100	2026-06-02	West	Matcha Latte	Tea	5	4.6	4.0	yes
1101	2026-06-04	East	Matcha Latte	Tea	16	4.86	5.0	yes
1102	2026-06-05	West	Chamomile	Tea	13	3.29	4.0	yes
1103	2026-06-07	East	Matcha Latte	Tea	4	4.36	2.0	no
1104	2026-06-08	West	Café con Leche	Coffee	13	3.51	4.0	yes
1105	2026-06-10	East	Café con Leche	Coffee	2	3.48	4.0	yes
1106	2026-06-11	South	Chamomile	Tea	6	3.15		yes
1107	2026-06-13	South	Espresso	Coffee	16	2.39	4.0	yes
1108	2026-06-14	West	Chamomile	Tea	3	3.15		no
1109	2026-06-16	South	Matcha Latte	Tea	19	4.85	3.0	yes
1110	2026-06-17	South	Flat White	Coffee	19	3.77	5.0	yes
1111	2026-06-19	South	Café con Leche	Coffee	21	3.43	1.0	yes
1112	2026-06-20	North	Chamomile	Tea	16	3.3	2.0	yes
1113	2026-06-22	North	Matcha Latte	Tea	18	4.37	3.0	yes
1114	2026-06-23	South	Café con Leche	Coffee	2	3.34		yes
1115	2026-06-25	East	Café con Leche	Coffee	11	3.18	3.0	yes
1116	2026-06-26	South	Matcha Latte	Tea	10	4.78	2.0	yes
1117	2026-06-28	South	Matcha Latte	Tea	15	4.38	4.0	yes
1118	2026-06-29	East	Flat White	Coffee	1	3.86	2.0	yes
1119	2026-07-01	East	Chamomile	Tea	23	3.2	5.0	yes
1120	2026-07-02	South	Croissant	Pastry	5	2.88	3.0	yes
