id_venta,fecha,producto,categoria,cantidad,precio_unitario,total,ciudad
78,2025-08-15,Silla Ergonómica,Mobiliario,2,57.98,115.96,Cartagena
79,2025-06-07,Cargador USB-C,Accesorios,4,141.49,565.96,Barranquilla
80,2025-07-20,Laptop Pro 14,Cómputo,9,399.23,3593.07,Cartagena
81,2024-07-03,Mouse Inalámbrico,Accesorios,4,1198.04,4792.16,Bogotá
82,2025-04-10,Tablet 10,Cómputo,7,314.68,2202.76,Cartagena
83,2025-02-10,Audífonos BT,Accesorios,9,510.59,4595.31,Barranquilla
84,2025-01-19,Cargador USB-C,Accesorios,4,1168.07,4672.28,Cali
85,2024-06-13,Webcam HD,Accesorios,10,911.0,9110.0,Cartagena
86,2025-05-10,Teclado Mecánico,Accesorios,7,1078.42,7548.94,Bogotá
87,2024-06-15,Mouse Inalámbrico,Accesorios,8,901.56,7212.48,Cartagena
88,2025-03-29,Tablet 10,Cómputo,3,176.5,529.5,Bogotá
89,2024-05-30,Tablet 10,Cómputo,9,388.09,3492.81,Bogotá
90,2025-07-04,Silla Ergonómica,Mobiliario,7,720.34,5042.38,Cartagena
91,2025-08-21,Silla Ergonómica,Mobiliario,4,379.06,1516.24,Medellín
92,2025-05-05,Webcam HD,Accesorios,4,219.11,876.44,Medellín
93,2024-09-01,Audífonos BT,Accesorios,8,932.43,7459.44,Bogotá
94,2025-03-04,Disco SSD 1TB,Almacenamiento,10,258.82,2588.2,Cartagena
95,2025-10-30,Cargador USB-C,Accesorios,1,585.34,585.34,Barranquilla
96,2025-02-13,Laptop Pro 14,Cómputo,8,1094.41,8755.28,Bogotá
97,2025-10-25,Mouse Inalámbrico,Accesorios,4,1026.85,4107.4,Bogotá
98,2024-07-13,Silla Ergonómica,Mobiliario,3,236.82,710.46,Barranquilla
99,2024-09-18,Teclado Mecánico,Accesorios,1,386.4,386.4,Cali
100,2024-04-03,Mouse Inalámbrico,Accesorios,2,124.78,249.56,Medellín
